[ 2025-06-14 23:26:19,035 ] 19 networksecurity.logging.logger - INFO - Initiate the data ingestion
[ 2025-06-14 23:26:23,565 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-14 23:26:23,565 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-14 23:26:23,565 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-14 23:26:23,768 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-14 23:26:23,784 ] 25 networksecurity.logging.logger - INFO - Initiate the data Validation
[ 2025-06-14 23:26:23,928 ] 32 root - INFO - Required number of columns:2
[ 2025-06-14 23:26:23,929 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-14 23:26:23,929 ] 32 root - INFO - Required number of columns:2
[ 2025-06-14 23:26:23,929 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-14 23:26:24,518 ] 27 networksecurity.logging.logger - INFO - data Validation Completed
[ 2025-06-14 23:26:24,518 ] 31 networksecurity.logging.logger - INFO - data Transformation started
[ 2025-06-14 23:26:24,518 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-14 23:26:24,518 ] 65 root - INFO - Starting data transformation
[ 2025-06-14 23:26:24,727 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-14 23:26:24,729 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-14 23:26:24,777 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-14 23:26:24,785 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-14 23:26:24,785 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-14 23:26:24,794 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-14 23:26:24,798 ] 35 networksecurity.logging.logger - INFO - data Transformation completed
[ 2025-06-14 23:26:24,799 ] 37 networksecurity.logging.logger - INFO - Model Training sstared
